"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0015979","GO:0015979","photosynthesis",85,0.56078946568051,2.46870274382584,3.51668642186892e-10,6.1893681024893e-08,5.44160951594454e-08,864,"tags=47%, list=16%, signal=40%","slr1986/sll0047/slr2067/smr0005/slr1655/slr0506/smr0004/sll0629/slr1834/slr1835/sll1579/ssr3451/sll1580/ssr3383/ssr3304/ssr0330/smr0007/smr0006/slr0149/smr0008/ssl3093/slr1739/slr2051/sll1214/sml0008/sll0427/sml0001/sll1398/slr0611/sll1577/slr1055/slr1030/smr0010/sll1578/sll1874/sml0002/slr0737/slr0335/sll0819/slr0772"
"GO:0042651","GO:0042651","thylakoid membrane",94,0.474343366443147,2.09862458484449,4.10614173714594e-07,3.61340472868842e-05,3.17685702821291e-05,1375,"tags=46%, list=26%, signal=34%","sll0047/smr0005/slr1034/slr1949/slr1655/smr0004/sll0629/slr1834/slr1835/ssr3451/ssl3335/smr0007/smr0006/smr0008/sml0008/sll1867/slr0927/sml0001/sll0616/sll1323/slr1964/slr1311/slr0331/smr0010/sml0002/sll1322/ssr1386/ssl2501/ssl0563/sll1325/sll1463/slr0906/slr0782/sll0849/slr1623/sll1324/ssl1690/sll0520/sll1326/ssr0390/ssr2831/sll0247/ssl2615"
"GO:0006412","GO:0006412","translation",89,0.43465615405459,1.9200615542453,1.79829293647711e-05,0.00105499852273324,0.000927540567235564,1634,"tags=57%, list=31%, signal=40%","sll1740/smr0011/slr1984/ssr0482/sll1811/sll1244/slr0557/sll0495/slr1031/sll1743/slr0638/ssl1784/slr0604/ssr1604/sll1803/slr1703/sll1812/ssl1426/sll1824/sll1813/sll1806/sll1807/ssr1736/ssl3437/sll1553/sll1096/sll1805/ssl3432/sll1809/sll1810/slr1549/ssl3436/sll1802/slr0877/ssr1398/sll1425/sll1804/slr1678/slr0922/slr0649/sll1435/sll1799/ssr1399/sll1800/sll1808/sll1821/sll1097/sll1801/sll1260/sll0179/slr1550"
"GO:0003735","GO:0003735","structural constituent of ribosome",55,0.497260129751513,1.98378693548175,4.78863624680932e-05,0.0021069999485961,0.00185244612705518,1563,"tags=65%, list=30%, signal=47%","sll1740/smr0011/slr1984/ssr0482/sll1811/sll1244/sll1743/ssl1784/ssr1604/sll1803/sll1812/ssl1426/sll1824/sll1813/sll1806/sll1807/ssr1736/ssl3437/sll1096/sll1805/ssl3432/sll1809/sll1810/ssl3436/sll1802/ssr1398/sll1804/slr1678/sll1799/ssr1399/sll1800/sll1808/sll1821/sll1097/sll1801/sll1260"
"GO:0005840","GO:0005840","ribosome",54,0.496310004240685,1.98093837197711,7.85935659395027e-05,0.0025903233937916,0.00227737762492443,1563,"tags=65%, list=30%, signal=46%","sll1740/smr0011/slr1984/ssr0482/sll1811/sll1244/sll1743/ssl1784/ssr1604/sll1803/sll1812/ssl1426/sll1824/sll1813/sll1806/sll1807/ssl3437/sll1096/sll1805/ssl3432/sll1809/sll1810/ssl3436/sll1802/ssr1398/sll1804/slr1678/sll1799/ssr1399/sll1800/sll1808/sll1821/sll1097/sll1801/sll1260"
"GO:0030089","GO:0030089","phycobilisome",24,0.644062929369949,2.12590617327346,8.83064793338045e-05,0.0025903233937916,0.00227737762492443,995,"tags=58%, list=19%, signal=48%","slr7023/slr1986/slr2067/sll1579/sll1580/ssr3383/slr0149/ssl3093/slr2051/sll1577/sll1578/slr0335/sll0928/sll1343"
"GO:0030096","GO:0030096","plasma membrane-derived thylakoid photosystem II",27,0.584657348661217,2.00981705095159,0.000243360131274764,0.00569490092048579,0.00500688059396777,1010,"tags=48%, list=19%, signal=39%","ssr3451/smr0007/smr0006/smr0008/sll1867/sll0427/slr0927/sml0001/sll1398/slr1311/sml0002/slr0906/sll0849"
"GO:0005622","GO:0005622","intracellular",123,0.368592229197615,1.71309943027439,0.000258859132749354,0.00569490092048579,0.00500688059396777,1730,"tags=50%, list=33%, signal=35%","sll1740/sll0320/smr0011/sll1583/slr0161/slr0063/sll1961/sll0245/sll0441/ssr0482/sll0792/sll1811/ssr1513/sll1244/slr0346/sll0865/ssl0564/ssl1784/slr0212/ssr1604/sll1803/sll1812/slr1529/ssl1426/sll1824/sll1813/sll0043/sll1806/sll1807/slr1909/ssl3437/sll1096/sll1805/ssl3432/sll1809/sll1810/sll1099/ssl3436/sll1533/sll1802/ssr1398/sll1804/slr1678/slr1428/sll1799/ssr1399/sll1800/sll1808/sll1821/slr1959/sll1296/sll1097/sll1801/sll1260/slr8026/slr1072/slr0744/slr0322/sll1293/ssl2233/slr1489/sll0921"
"GO:0009523","GO:0009523","photosystem II",13,0.703867105244523,2.01137105685641,0.000887258173871512,0.0173508265112651,0.01525461421744,1010,"tags=69%, list=19%, signal=56%","sll0047/ssr3451/smr0006/smr0008/sll1867/slr0927/slr1311/sml0002/sll0849"
"GO:0005515","GO:0005515","protein binding",33,0.502846997552502,1.80556204390861,0.00213075639186943,0.0357046475807217,0.0313910478131943,1764,"tags=58%, list=33%, signal=39%","slr1641/sll0020/sll1679/sll0616/slr1653/slr1751/slr1531/ssl1707/slr0257/slr2076/sll0100/slr0156/sll1427/slr1199/slr0756/sll0416/slr1204/slr2102/slr2073"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit",20,0.591385764876273,1.87002049622542,0.00223154047379511,0.0357046475807217,0.0313910478131943,1542,"tags=75%, list=29%, signal=53%","sll1740/sll1811/sll1244/sll1743/sll1803/ssl1426/sll1824/sll1813/sll1805/sll1810/ssl3436/sll1802/sll1808/sll1821/sll1801"
